Variable_name,msgIDrx,startBit,endBit,Endianness,Max,Min,Unit,PlotUnitsY,PlotUnitsX,PlotBool
LeftRadarStatus,18C0FF80,0,1,1,2,0,unit,unit,sec,True
LeftRadarCanopyConf,18C0FF80,2,8,1,100,0,Percent,Percent,sec,True
LeftRadarGroundConf,18C0FF80,9,15,1,100,0,Percent,Percent,sec,True
LeftRadarCanopyHeight,18C0FF80,16,31,1,5000,0,mm,inch,sec,True
LeftRadarGroundHeight,18C0FF80,32,47,1,5000,0,mm,inch,sec,True
RightRadarStatus,18C0FF81,0,1,1,2,0,unit,unit,sec,True
RightRadarCanopyConf,18C0FF81,2,8,1,100,0,Percent,Percent,sec,True
RightRadarGroundConf,18C0FF81,9,15,1,100,0,Percent,Percent,sec,True
RightRadarCanopyHeight,18C0FF81,16,31,1,5000,0,mm,inch,sec,True
RightRadarGroundHeight,18C0FF81,32,47,1,5000,0,mm,inch,sec,True
RackRadarStatus,18C0FF82,0,1,1,2,0,unit,unit,sec,True
RackRadarCanopyConf,18C0FF82,2,8,1,100,0,Percent,Percent,sec,True
RackRadarGroundConf,18C0FF82,9,15,1,100,0,Percent,Percent,sec,True
RackRadarCanopyHeight,18C0FF82,16,31,1,5000,0,mm,inch,sec,True
RackRadarGroundHeight,18C0FF82,32,47,1,5000,0,mm,inch,sec,True
RightTiltSensor,00FF0685,0,15,1,5000,0,mV,deg,sec,True
LeftTiltSensor,00FF0785,0,15,1,5000,0,mV,deg,sec,True
RackRollTiltSensor,00FF0785,32,47,1,5000,0,mV,deg,sec,True
RackPitchTiltSensor,00FF0685,48,63,1,5000,0,mV,inch,sec,True
RightHeightError,00FF0885,0,15,1,10000,0,unit,unit,sec,True
RightPressureAdjust,00FF0885,16,31,1,10000,0,unit,unit,sec,True
RightTargetCurrent,00FF0885,32,47,1,10000,0,unit,unit,sec,True
RightPWM,00FF0885,48,63,1,10000,0,unit,unit,sec,True
LeftHeightError,00FF0A85,0,15,1,10000,0,unit,unit,sec,True
LeftPressureAdjust,00FF0A85,16,31,1,10000,0,unit,unit,sec,True
LeftTargetCurrent,00FF0A85,32,47,1,10000,0,unit,unit,sec,True
LeftPWM,00FF0A85,48,63,1,10000,0,unit,unit,sec,True
